Year,County,Gender,Race,Offense_Category,Count
2021,Calaveras,Female,Latinx,PublicOrder,3.0
2021,Calaveras,Female,Latinx,Violent,3.0
2021,Calaveras,Female,White,Drug,6.0
2021,Calaveras,Female,White,Property,2.0
2021,Calaveras,Female,White,PublicOrder,18.0
2021,Calaveras,Female,White,Violent,25.0
2021,Calaveras,Male,Asian/other,Drug,9.0
2021,Calaveras,Male,Asian/other,Property,0.0
2021,Calaveras,Male,Asian/other,PublicOrder,12.0
2021,Calaveras,Male,Asian/other,Violent,4.0
2021,Calaveras,Male,Black,Drug,2.0
2021,Calaveras,Male,Black,Property,0.0
2021,Calaveras,Male,Black,PublicOrder,1.0
2021,Calaveras,Male,Black,Violent,3.0
2021,Calaveras,Male,Latinx,Drug,11.0
2021,Calaveras,Male,Latinx,Property,1.0
2021,Calaveras,Male,Latinx,PublicOrder,19.0
2021,Calaveras,Male,Latinx,Violent,12.0
2021,Calaveras,Male,White,Drug,15.0
2021,Calaveras,Male,White,Property,24.0
2021,Calaveras,Male,White,PublicOrder,61.0
2021,Calaveras,Male,White,Violent,80.0
2021,Colusa,Female,Asian/other,Drug,1.0
2021,Colusa,Female,Asian/other,Property,1.0
2021,Colusa,Female,Asian/other,PublicOrder,4.0
2021,Colusa,Female,Asian/other,Violent,0.0
2021,Colusa,Female,Black,Drug,0.0
2021,Colusa,Female,Black,Property,1.0
2021,Colusa,Female,Black,PublicOrder,0.0
2021,Colusa,Female,Black,Violent,0.0
2021,Colusa,Female,Latinx,Drug,0.0
2021,Colusa,Female,Latinx,Property,6.0
2021,Colusa,Female,Latinx,PublicOrder,9.0
2021,Colusa,Female,Latinx,Violent,3.0
2021,Colusa,Female,White,Drug,1.0
2021,Colusa,Female,White,Property,7.0
2021,Colusa,Female,White,PublicOrder,16.0
2021,Colusa,Female,White,Violent,9.0
2021,Colusa,Male,Asian/other,Drug,0.0
2021,Colusa,Male,Asian/other,Property,0.0
2021,Colusa,Male,Asian/other,PublicOrder,6.0
2021,Colusa,Male,Asian/other,Violent,3.0
2021,Colusa,Male,Black,Drug,3.0
2021,Colusa,Male,Black,Property,4.0
2021,Colusa,Male,Black,PublicOrder,10.0
2021,Colusa,Male,Black,Violent,3.0
2021,Colusa,Male,Latinx,Drug,5.0
2021,Colusa,Male,Latinx,Property,16.0
2021,Colusa,Male,Latinx,PublicOrder,60.0
2021,Colusa,Male,Latinx,Violent,17.0
2021,Colusa,Male,White,Drug,5.0
2021,Colusa,Male,White,Property,12.0
2021,Colusa,Male,White,PublicOrder,50.0
2021,Colusa,Male,White,Violent,14.0
2021,Contra Costa,Female,Asian/other,Drug,14.0
2021,Contra Costa,Female,Asian/other,Property,21.0
2021,Contra Costa,Female,Asian/other,PublicOrder,16.0
2021,Contra Costa,Female,Asian/other,Violent,27.0
2021,Contra Costa,Female,Black,Drug,15.0
2021,Contra Costa,Female,Black,Property,162.0
2021,Contra Costa,Female,Black,PublicOrder,120.0
2021,Contra Costa,Female,Black,Violent,125.0
2021,Contra Costa,Female,Latinx,Drug,16.0
2021,Contra Costa,Female,Latinx,Property,88.0
2021,Contra Costa,Female,Latinx,PublicOrder,50.0
2021,Contra Costa,Female,Latinx,Violent,66.0
2021,Contra Costa,Female,White,Drug,78.0
2021,Contra Costa,Female,White,Property,184.0
2021,Contra Costa,Female,White,PublicOrder,98.0
2021,Contra Costa,Female,White,Violent,79.0
2021,Contra Costa,Male,Asian/other,Drug,51.0
2021,Contra Costa,Male,Asian/other,Property,103.0
