Year,County,Cost_per_prisoner,Imprisonments,Population
2017,Lake,98731.13977823606,16.0,279.0
2017,Lake,98731.13977823606,0.0,3603.0
2017,Lake,98731.13977823606,0.0,3603.0
2017,Lake,98731.13977823606,0.0,3603.0
2017,Lake,98731.13977823606,1.0,3603.0
2017,Lake,98731.13977823606,1.0,15226.0
2017,Lake,98731.13977823606,1.0,15226.0
2017,Lake,98731.13977823606,1.0,15226.0
2017,Lake,98731.13977823606,4.0,15226.0
2017,Lake,98731.13977823606,2.0,1413.0
2017,Lake,98731.13977823606,5.0,1413.0
2017,Lake,98731.13977823606,3.0,1413.0
2017,Lake,98731.13977823606,35.0,1413.0
2017,Lake,98731.13977823606,0.0,430.0
2017,Lake,98731.13977823606,0.0,430.0
2017,Lake,98731.13977823606,0.0,430.0
2017,Lake,98731.13977823606,0.0,430.0
2017,Lake,98731.13977823606,5.0,4088.0
2017,Lake,98731.13977823606,6.0,4088.0
2017,Lake,98731.13977823606,11.0,4088.0
2017,Lake,98731.13977823606,24.0,4088.0
2017,Lake,98731.13977823606,19.0,15151.0
2017,Lake,98731.13977823606,30.0,15151.0
2017,Lake,98731.13977823606,39.0,15151.0
2017,Lake,98731.13977823606,136.0,15151.0
2017,Lassen,98731.13977823606,0.0,608.0
2017,Lassen,98731.13977823606,0.0,608.0
2017,Lassen,98731.13977823606,0.0,608.0
2017,Lassen,98731.13977823606,1.0,608.0
2017,Lassen,98731.13977823606,0.0,73.0
2017,Lassen,98731.13977823606,0.0,73.0
2017,Lassen,98731.13977823606,0.0,73.0
2017,Lassen,98731.13977823606,0.0,73.0
2017,Lassen,98731.13977823606,0.0,732.0
2017,Lassen,98731.13977823606,1.0,732.0
2017,Lassen,98731.13977823606,0.0,732.0
2017,Lassen,98731.13977823606,0.0,732.0
2017,Lassen,98731.13977823606,0.0,5744.0
2017,Lassen,98731.13977823606,0.0,5744.0
2017,Lassen,98731.13977823606,0.0,5744.0
