Year,County,Gender,Race,Population_age_10-17,Poverty_rate_age_12-17
2017,Tuolumne,Male,Asian/other,180,0.0
2017,Tuolumne,Male,Black,15,0.0
2017,Tuolumne,Male,Latinx,347,0.1012145748987854
2017,Tuolumne,Male,White,1643,0.0796064400715563
2017,Ventura,Female,Asian/other,4473,0.1995841995841996
2017,Ventura,Female,Black,563,0.2893401015228426
2017,Ventura,Female,Latinx,24116,0.1833342416480462
2017,Ventura,Female,White,15676,0.052592834941927
2017,Ventura,Male,Asian/other,4531,0.0443964482841372
2017,Ventura,Male,Black,609,0.1321279554937413
2017,Ventura,Male,Latinx,25135,0.1822487754992195
2017,Ventura,Male,White,16524,0.0629227144919826
2017,Yolo,Female,Asian/other,2220,0.0204187128456965
2017,Yolo,Female,Black,266,0.3829787234042553
2017,Yolo,Female,Latinx,4948,0.1357297799814068
2017,Yolo,Female,White,4437,0.0717647058823529
2017,Yolo,Male,Asian/other,2357,0.2031114952463267
2017,Yolo,Male,Black,289,0.2177777777777777
2017,Yolo,Male,Latinx,4798,0.1228400879673264
2017,Yolo,Male,White,4497,0.0598669623059867
2017,Yuba,Female,Asian/other,732,0.2995169082125604
2017,Yuba,Female,Black,137,0.8928571428571429
2017,Yuba,Female,Latinx,1591,0.3114754098360656
2017,Yuba,Female,White,1945,0.137844611528822
2017,Yuba,Male,Asian/other,814,0.1782006920415225
2017,Yuba,Male,Black,146,0.3565891472868217
2017,Yuba,Male,Latinx,1698,0.4004815409309791
2017,Yuba,Male,White,2218,0.2396585686145765
2018,Alameda,Female,Asian/other,25557,0.0783442634510965
2018,Alameda,Female,Black,9000,0.2793151158768592
2018,Alameda,Female,Latinx,24748,0.149957007738607
2018,Alameda,Female,White,17504,0.0455019661343391
2018,Alameda,Male,Asian/other,26971,0.0782271241830065
2018,Alameda,Male,Black,9169,0.2374148529656089
2018,Alameda,Male,Latinx,26341,0.1693921281154843
2018,Alameda,Male,White,18618,0.0420734542073454
2018,Alpine,Female,Asian/other,22,0.0
2018,Alpine,Female,Black,0,0.0
2018,Alpine,Female,Latinx,8,0.6
2018,Alpine,Female,White,35,0.0
2018,Alpine,Male,Asian/other,16,0.0
2018,Alpine,Male,Black,0,0.0
2018,Alpine,Male,Latinx,14,1.0
2018,Alpine,Male,White,34,0.0
2018,Amador,Female,Asian/other,99,0.0816326530612244
