Year,County,Gender,Race,Offense_Category,Count,Age
2017,San Diego,Male,Asian/other,Violent,25.0,Juvenile
2017,San Francis,Male,Asian/other,Violent,3.343283582089552,Juvenile
2017,San Joaquin,Male,Asian/other,Violent,22.0,Juvenile
2017,San Luis Ob,Male,Asian/other,Violent,4.0,Juvenile
2017,San Mateo,Male,Asian/other,Violent,11.0,Juvenile
2017,Santa Barba,Male,Asian/other,Violent,6.0,Juvenile
2017,Santa Clara,Male,Asian/other,Violent,39.0,Juvenile
2017,Santa Cruz,Male,Asian/other,Violent,1.0,Juvenile
2017,Shasta,Male,Asian/other,Violent,2.0,Juvenile
2017,Sierra,Male,Asian/other,Violent,0.0,Juvenile
2017,Siskiyou,Male,Asian/other,Violent,1.0,Juvenile
2017,Solano,Male,Asian/other,Violent,3.0,Juvenile
2017,Sonoma,Male,Asian/other,Violent,2.0,Juvenile
2017,Stanislaus,Male,Asian/other,Violent,2.0,Juvenile
2017,Sutter,Male,Asian/other,Violent,1.0,Juvenile
2017,Tehama,Male,Asian/other,Violent,1.0,Juvenile
2017,Trinity,Male,Asian/other,Violent,0.0,Juvenile
2017,Tulare,Male,Asian/other,Violent,2.0,Juvenile
2017,Tuolumne,Male,Asian/other,Violent,0.0,Juvenile
2017,Ventura,Male,Asian/other,Violent,2.0,Juvenile
2017,Yolo,Male,Asian/other,Violent,2.0,Juvenile
2017,Yuba,Male,Asian/other,Violent,3.0,Juvenile
2017,Alameda,Male,White,Violent,23.0,Juvenile
2017,Alpine,Male,White,Violent,0.0,Juvenile
2017,Amador,Male,White,Violent,1.0,Juvenile
2017,Butte,Male,White,Violent,13.0,Juvenile
2017,Calaveras,Male,White,Violent,13.0,Juvenile
2017,Colusa,Male,White,Violent,0.0,Juvenile
2017,Contra Cost,Male,White,Violent,20.0,Juvenile
2017,Del Norte,Male,White,Violent,0.0,Juvenile
2017,El Dorado,Male,White,Violent,16.0,Juvenile
2017,Fresno,Male,White,Violent,28.0,Juvenile
2017,Glenn,Male,White,Violent,1.0,Juvenile
2017,Humboldt,Male,White,Violent,12.0,Juvenile
2017,Imperial,Male,White,Violent,0.0,Juvenile
2017,Inyo,Male,White,Violent,0.0,Juvenile
2017,Kern,Male,White,Violent,28.0,Juvenile
2017,Kings,Male,White,Violent,9.0,Juvenile
2017,Lake,Male,White,Violent,9.0,Juvenile
2017,Lassen,Male,White,Violent,2.0,Juvenile
2017,Los Angeles,Male,White,Violent,96.0,Juvenile
2017,Madera,Male,White,Violent,3.0,Juvenile
2017,Marin,Male,White,Violent,17.0,Juvenile
2017,Mariposa,Male,White,Violent,0.0,Juvenile
2017,Mendocino,Male,White,Violent,7.0,Juvenile
2017,Merced,Male,White,Violent,9.0,Juvenile
2017,Modoc,Male,White,Violent,2.0,Juvenile
2017,Mono,Male,White,Violent,0.0,Juvenile
2017,Monterey,Male,White,Violent,6.0,Juvenile
2017,Napa,Male,White,Violent,9.0,Juvenile
2017,Nevada,Male,White,Violent,12.0,Juvenile
2017,Orange,Male,White,Violent,38.0,Juvenile
2017,Placer,Male,White,Violent,29.0,Juvenile
2017,Plumas,Male,White,Violent,1.0,Juvenile
2017,Riverside,Male,White,Violent,40.0,Juvenile
2017,Sacramento,Male,White,Violent,58.0,Juvenile
2017,San Benito,Male,White,Violent,1.0,Juvenile
2017,San Bernard,Male,White,Violent,88.0,Juvenile
2017,San Diego,Male,White,Violent,84.0,Juvenile
2017,San Francis,Male,White,Violent,4.0,Juvenile
2017,San Joaquin,Male,White,Violent,36.0,Juvenile
2017,San Luis Ob,Male,White,Violent,17.0,Juvenile
2017,San Mateo,Male,White,Violent,8.0,Juvenile
2017,Santa Barba,Male,White,Violent,23.0,Juvenile
2017,Santa Clara,Male,White,Violent,37.0,Juvenile
2017,Santa Cruz,Male,White,Violent,7.0,Juvenile
2017,Shasta,Male,White,Violent,22.0,Juvenile
2017,Sierra,Male,White,Violent,1.0,Juvenile
2017,Siskiyou,Male,White,Violent,2.0,Juvenile
2017,Solano,Male,White,Violent,18.0,Juvenile
2017,Sonoma,Male,White,Violent,25.0,Juvenile
2017,Stanislaus,Male,White,Violent,25.0,Juvenile
2017,Sutter,Male,White,Violent,10.0,Juvenile
2017,Tehama,Male,White,Violent,4.0,Juvenile
